,addressStreet,addressCity,addressState,addressZipCode,bikesAvailable,closeTime,docksAvailable,eventEnd,eventStart,isEventBased,isVirtual,isVisible,kioskId,kioskPublicStatus,kioskStatus,kioskUnresponsiveTime,name,notes,openTime,publicText,timeZone,totalDocks,trikesAvailable,kioskConnectionStatus,kioskType,latitude,longitude,hasGeofence,classicBikesAvailable,smartBikesAvailable,electricBikesAvailable,isArchived,clientVersion
98,1900 N Vermont,Los Feliz,CA,90027,5,05:44:00,4,,,False,False,False,4436,Active,FullService,,Vermont & Franklin,,05:45:00,,Pacific Standard Time,9,0,Active,1,34.10578,-118.29194,False,5,0,0,False,2.174.257
99,4500 Franklin Ave,Los Feliz,CA,90027,11,05:44:00,2,,,False,False,False,4437,Active,FullService,,Franklin & Hillhurst,,05:45:00,,Pacific Standard Time,13,0,Active,1,34.10536,-118.28727,False,9,0,2,False,2.174.257
100,1254 N Hoover St,Silver Lake,CA,90029,10,05:44:00,4,,,False,False,False,4438,Active,FullService,,Hoover & Fountain,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.09493,-118.28456,False,10,0,0,False,2.174.257
101,4477 Santa Monica Blvd,Los Feliz,CA,90029,3,05:44:00,10,,,False,False,False,4439,Active,FullService,,Santa Monica & Virgil,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.09097,-118.28625,False,3,0,0,False,2.174.257
102,3420 Wilshire Blvd,Koreatown,CA,90010,9,05:44:00,9,,,False,False,False,4440,Active,FullService,,Wilshire & Alexandria,,05:45:00,,Pacific Standard Time,18,0,Active,1,34.06166,-118.29824,False,9,0,0,False,2.174.257
103,University Ave,USC,CA,90007,2,05:44:00,7,,,False,False,False,4441,Active,FullService,,University & 30th,,05:45:00,,Pacific Standard Time,9,0,Active,1,34.02662,-118.28181,False,2,0,0,False,2.174.257
104,1498 N Normandie,Los Feliz,CA,90027,3,05:44:00,9,,,False,False,False,4442,Active,FullService,,Normandie & Sunset,,05:45:00,,Pacific Standard Time,12,0,Active,1,34.098,-118.30047,False,1,0,2,False,2.174.257
105,3330 S Figueroa St,USC,CA,90007,5,05:44:00,3,,,False,False,False,4443,Active,FullService,,Figueroa & Jefferson,,05:45:00,,Pacific Standard Time,8,0,Active,1,34.02209,-118.27979,False,4,0,1,False,2.174.257
106,3670 Wilshire Blvd,Koreatown,CA,90005,3,05:44:00,6,,,False,False,False,4444,Active,FullService,,Wilshire & Hobart,,05:45:00,,Pacific Standard Time,9,0,Active,1,34.06162,-118.30557,False,3,0,0,False,2.174.257
107,1389 S Sunset Blvd,Echo Park,CA,90027,4,05:44:00,10,,,False,False,False,4445,Active,FullService,,Sunset & Douglas,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.07364,-118.25157,False,4,0,0,False,2.174.257
108,2059 James M. Wood Blvd,Westlake,CA,90006,7,05:44:00,6,,,False,False,False,4446,Active,FullService,,James M. Wood & Alvarado,,05:45:00,,Pacific Standard Time,13,0,Active,1,34.05323,-118.27842,False,6,0,1,False,2.174.257
